symptom_text,specialty,urgency,cleaned_text
"Допоможіть, різі при сечовипусканні, тягне внизу живота",urologist,medium,допоможіть різі при сечовипусканні тягне внизу живота
"Вже кілька днів часті походи в туалет, але без болю",urologist,low,вже кілька днів часті походи в туалет але без болю
"Вже кілька днів ниючий біль у попереку, важко нахилятися",neurologist,medium,вже кілька днів ниючий біль у попереку важко нахилятися
Раптово почалося: дитині потрібен плановий огляд та довідка в садочок,pediatrician,low,раптово почалося дитині потрібен плановий огляд та довідка в садочок
"Температура піднялася до 40, сильно знобить",therapist,high,температура піднялася до 40 сильно знобить
"Вже кілька днів підвернув ногу, є невеликий набряк, але ходити можу",traumatologist,medium,вже кілька днів підвернув ногу є невеликий набряк але ходити можу
"Скажіть, будь ласка, чому дуже лущиться шкіра на обличчі",dermatologist,low,скажіть будь ласка чому дуже лущиться шкіра на обличчі
"Сильно турбує те, що у дитини кашель, соплі, але температури немає",pediatrician,medium,сильно турбує те що у дитини кашель соплі але температури немає
"Раптово почалося: нудота після їжі, кисла відрижка вже кілька днів",gastroenterologist,medium,раптово почалося нудота після їжі кисла відрижка вже кілька днів
"У мене фурункул запалився, набряк, гарячий на дотик",dermatologist,high,у мене фурункул запалився набряк гарячий на дотик
"Відчуваю, що стороннє тіло у дихальних шляхах, дитина задихається",otolaryngologist,high,відчуваю що стороннє тіло у дихальних шляхах дитина задихається
"Відчуваю, що температура піднялася до 40, сильно знобить",therapist,high,відчуваю що температура піднялася до 40 сильно знобить
"Підкажіть, що робити, якщо швидко втомлюються очі під час роботи за монітором",ophthalmologist,low,підкажіть що робити якщо швидко втомлюються очі під час роботи за монітором
У мого родича періодично закладає одне вухо після басейну,otolaryngologist,low,у мого родича періодично закладає одне вухо після басейну
Водянисті пухирі на ногах після алергії,dermatologist,medium,водянисті пухирі на ногах після алергії
"У мене стріляє у вусі, заклало ніс, болять пазухи",otolaryngologist,medium,у мене стріляє у вусі заклало ніс болять пазухи
"Допоможіть, діабетична криза, втрата свідомості, різкий запах ацетону",endocrinologist,high,допоможіть діабетична криза втрата свідомості різкий запах ацетону
"Скажіть, будь ласка, чому сильний набряк повіки, вискочив великий ячмінь",ophthalmologist,medium,скажіть будь ласка чому сильний набряк повіки вискочив великий ячмінь
"Допоможіть, болить шлунок натщесерце, ниючий біль під ребрами",gastroenterologist,medium,допоможіть болить шлунок натщесерце ниючий біль під ребрами
"Сильно турбує те, що водянисті пухирі на ногах після алергії",dermatologist,medium,сильно турбує те що водянисті пухирі на ногах після алергії
"Допоможіть, невелика гуля на спині, жировик під шкірою",surgeon,low,допоможіть невелика гуля на спині жировик під шкірою
"Сильно турбує те, що важкість у шлунку та постійне здуття живота",gastroenterologist,low,сильно турбує те що важкість у шлунку та постійне здуття живота
"Скажіть, будь ласка, чому втрата голосу, сильний гавкаючий кашель і біль у горлі",otolaryngologist,medium,скажіть будь ласка чому втрата голосу сильний гавкаючий кашель і біль у горлі
"Відчуваю, що почав гірше бачити текст вдалині, розмиваються літери",ophthalmologist,low,відчуваю що почав гірше бачити текст вдалині розмиваються літери
"Високий тиск 150 на 90, крутиться голова",cardiologist,medium,високий тиск 150 на 90 крутиться голова
"Раптово почалося: нагноєння старої подряпини, легкий набряк",surgeon,low,раптово почалося нагноєння старої подряпини легкий набряк
"Підкажіть, що робити, якщо коліки в животі, метеоризм, ріже навколо пупка",gastroenterologist,medium,підкажіть що робити якщо коліки в животі метеоризм ріже навколо пупка
"Допоможіть, швидко втомлюються очі під час роботи за монітором",ophthalmologist,low,допоможіть швидко втомлюються очі під час роботи за монітором
"Скажіть, будь ласка, чому помітив кров у сечі, сильний біль у ділянці паху",urologist,high,скажіть будь ласка чому помітив кров у сечі сильний біль у ділянці паху
"Відчуваю, що сухий кашель, важко вдихнути повітря, хрипи в легенях",therapist,high,відчуваю що сухий кашель важко вдихнути повітря хрипи в легенях
"Сильно турбує те, що запалення сечового міхура, цистит, дискомфорт",urologist,medium,сильно турбує те що запалення сечового міхура цистит дискомфорт
"Скажіть, будь ласка, чому легке запаморочення при різкому підйомі",neurologist,low,скажіть будь ласка чому легке запаморочення при різкому підйомі
"Допоможіть, підозра на пупкову грижу, випинання болить",surgeon,medium,допоможіть підозра на пупкову грижу випинання болить
"Допоможіть, нестерпний біль у шлунку, сильне отруєння та діарея",gastroenterologist,high,допоможіть нестерпний біль у шлунку сильне отруєння та діарея
"Вже кілька днів нагноєння старої подряпини, легкий набряк",surgeon,low,вже кілька днів нагноєння старої подряпини легкий набряк
"Скажіть, будь ласка, чому гостра затримка сечі, нестерпний біль, ниркова коліка",urologist,high,скажіть будь ласка чому гостра затримка сечі нестерпний біль ниркова коліка
"Сухість в очах, відчуття піску під повіками",ophthalmologist,low,сухість в очах відчуття піску під повіками
"Раптово почалося: ангіна, білий наліт на мигдаликах, важко ковтати",otolaryngologist,medium,раптово почалося ангіна білий наліт на мигдаликах важко ковтати
"Втрата голосу, сильний гавкаючий кашель і біль у горлі",otolaryngologist,medium,втрата голосу сильний гавкаючий кашель і біль у горлі
"Раптово почалося: сильний удар ліктя, рука опухла і посиніла",traumatologist,medium,раптово почалося сильний удар ліктя рука опухла і посиніла
"Допоможіть, стріляє в спині, защемило нерв, не можу розігнутися",neurologist,high,допоможіть стріляє в спині защемило нерв не можу розігнутися
"Вже кілька днів стороннє тіло у дихальних шляхах, дитина задихається",otolaryngologist,high,вже кілька днів стороннє тіло у дихальних шляхах дитина задихається
"Підкажіть, що робити, якщо дуже лущиться шкіра на обличчі",dermatologist,low,підкажіть що робити якщо дуже лущиться шкіра на обличчі
"Сильно турбує те, що нудота після їжі, кисла відрижка вже кілька днів",gastroenterologist,medium,сильно турбує те що нудота після їжі кисла відрижка вже кілька днів
"Раптово почалося: різко набрав вагу, хоча дієта не змінювалася",endocrinologist,low,раптово почалося різко набрав вагу хоча дієта не змінювалася
"Допоможіть, задишка при мінімальних фізичних навантаженнях",cardiologist,medium,допоможіть задишка при мінімальних фізичних навантаженнях
"Відчуваю, що болить шлунок натщесерце, ниючий біль під ребрами",gastroenterologist,medium,відчуваю що болить шлунок натщесерце ниючий біль під ребрами
"Раптово почалося: ниючий біль у попереку, важко нахилятися",neurologist,medium,раптово почалося ниючий біль у попереку важко нахилятися
"Підкажіть, що робити, якщо сухий кашель, важко вдихнути повітря, хрипи в легенях",therapist,high,підкажіть що робити якщо сухий кашель важко вдихнути повітря хрипи в легенях
"Допоможіть, в око потрапила хімічна речовина або залізна стружка",ophthalmologist,high,допоможіть в око потрапила хімічна речовина або залізна стружка
У мого родича болить плече або м'язи після тренування в залі,traumatologist,low,у мого родича болить плече або м язи після тренування в залі
Вже кілька днів важкість у шлунку та постійне здуття живота,gastroenterologist,low,вже кілька днів важкість у шлунку та постійне здуття живота
Раптово почалося: періодично німіють мізинці на руках,neurologist,low,раптово почалося періодично німіють мізинці на руках
"Відчуваю, що впав, підозра на тріщину в ребрі, боляче дихати",traumatologist,medium,відчуваю що впав підозра на тріщину в ребрі боляче дихати
"У мого родича нудота після їжі, кисла відрижка вже кілька днів",gastroenterologist,medium,у мого родича нудота після їжі кисла відрижка вже кілька днів
"У мого родича діабетична криза, втрата свідомості, різкий запах ацетону",endocrinologist,high,у мого родича діабетична криза втрата свідомості різкий запах ацетону
"Скажіть, будь ласка, чому температура піднялася до 40, сильно знобить",therapist,high,скажіть будь ласка чому температура піднялася до 40 сильно знобить
"У мене пече в грудях, гострий біль за грудиною",cardiologist,high,у мене пече в грудях гострий біль за грудиною
У мого родича профілактичний огляд чоловічого здоров'я,urologist,low,у мого родича профілактичний огляд чоловічого здоров я
"Раптово почалося: очі почервоніли, закисають зранку, виділяється гній",ophthalmologist,medium,раптово почалося очі почервоніли закисають зранку виділяється гній
"Допоможіть, глибокий поріз склом, сильна кровотеча не зупиняється",traumatologist,high,допоможіть глибокий поріз склом сильна кровотеча не зупиняється
"Відчуваю, що профілактичний огляд чоловічого здоров'я",urologist,low,відчуваю що профілактичний огляд чоловічого здоров я
"Підкажіть, що робити, якщо підозра на апендицит, блювота, живіт як дошка твердий",surgeon,high,підкажіть що робити якщо підозра на апендицит блювота живіт як дошка твердий
"Сильно турбує те, що врослий ніготь на великому пальці ноги",surgeon,low,сильно турбує те що врослий ніготь на великому пальці ноги
"Підкажіть, що робити, якщо у дитини кашель, соплі, але температури немає",pediatrician,medium,підкажіть що робити якщо у дитини кашель соплі але температури немає
"Раптово почалося: нестерпний біль у шлунку, сильне отруєння та діарея",gastroenterologist,high,раптово почалося нестерпний біль у шлунку сильне отруєння та діарея
"У мого родича ломить суглоби, застудився під кондиціонером",therapist,medium,у мого родича ломить суглоби застудився під кондиціонером
"Різко набрав вагу, хоча дієта не змінювалася",endocrinologist,low,різко набрав вагу хоча дієта не змінювалася
"Допоможіть, малюк погано спить, капризує під час годування",pediatrician,low,допоможіть малюк погано спить капризує під час годування
"Вже кілька днів втрата голосу, сильний гавкаючий кашель і біль у горлі",otolaryngologist,medium,вже кілька днів втрата голосу сильний гавкаючий кашель і біль у горлі
"Допоможіть, часті походи в туалет, але без болю",urologist,low,допоможіть часті походи в туалет але без болю
"Вже кілька днів стріляє в спині, защемило нерв, не можу розігнутися",neurologist,high,вже кілька днів стріляє в спині защемило нерв не можу розігнутися
"Раптово почалося: помітив кров у сечі, сильний біль у ділянці паху",urologist,high,раптово почалося помітив кров у сечі сильний біль у ділянці паху
"Відчуваю, що ниючий біль у попереку, важко нахилятися",neurologist,medium,відчуваю що ниючий біль у попереку важко нахилятися
В око потрапила хімічна речовина або залізна стружка,ophthalmologist,high,в око потрапила хімічна речовина або залізна стружка
"Сильно турбує те, що температура 38.5, кашель і озноб",therapist,medium,сильно турбує те що температура 38 5 кашель і озноб
"У мене температура 38.5, кашель і озноб",therapist,medium,у мене температура 38 5 кашель і озноб
"Раптово почалося: почав гірше бачити текст вдалині, розмиваються літери",ophthalmologist,low,раптово почалося почав гірше бачити текст вдалині розмиваються літери
"Сильно турбує те, що у донечки висип по всьому тілу, схоже на вітрянку",pediatrician,medium,сильно турбує те що у донечки висип по всьому тілу схоже на вітрянку
"У мене кривава блювота або чорний стілець, гострий спазм",gastroenterologist,high,у мене кривава блювота або чорний стілець гострий спазм
"У мене сухість в очах, відчуття піску під повіками",ophthalmologist,low,у мене сухість в очах відчуття піску під повіками
У мого родича скаче пульс після кави або чаю,cardiologist,low,у мого родича скаче пульс після кави або чаю
"Допоможіть, сухий кашель, важко вдихнути повітря, хрипи в легенях",therapist,high,допоможіть сухий кашель важко вдихнути повітря хрипи в легенях
"Сильно турбує те, що часті перепади настрою, збільшилася щитовидна залоза",endocrinologist,medium,сильно турбує те що часті перепади настрою збільшилася щитовидна залоза
"У мого родича сильний удар ліктя, рука опухла і посиніла",traumatologist,medium,у мого родича сильний удар ліктя рука опухла і посиніла
Вже кілька днів іноді покалює зліва в грудях під час ходьби,cardiologist,low,вже кілька днів іноді покалює зліва в грудях під час ходьби
"Відчуваю, що стріляє в спині, защемило нерв, не можу розігнутися",neurologist,high,відчуваю що стріляє в спині защемило нерв не можу розігнутися
"Скажіть, будь ласка, чому у дитини кашель, соплі, але температури немає",pediatrician,medium,скажіть будь ласка чому у дитини кашель соплі але температури немає
"Підкажіть, що робити, якщо у сина болить вушко, плаче і тримається за голову",pediatrician,medium,підкажіть що робити якщо у сина болить вушко плаче і тримається за голову
Вже кілька днів температура 37.2 і загальна слабкість,therapist,low,вже кілька днів температура 37 2 і загальна слабкість
"Допоможіть, періодично німіють мізинці на руках",neurologist,low,допоможіть періодично німіють мізинці на руках
"Підкажіть, що робити, якщо невелика гуля на спині, жировик під шкірою",surgeon,low,підкажіть що робити якщо невелика гуля на спині жировик під шкірою
"Скажіть, будь ласка, чому дитині потрібен плановий огляд та довідка в садочок",pediatrician,low,скажіть будь ласка чому дитині потрібен плановий огляд та довідка в садочок
"Скажіть, будь ласка, чому температура 37.2 і загальна слабкість",therapist,low,скажіть будь ласка чому температура 37 2 і загальна слабкість
"Раптово почалося: сильно болить горло, важко ковтати їжу",therapist,medium,раптово почалося сильно болить горло важко ковтати їжу
"Вже кілька днів підозра на пупкову грижу, випинання болить",surgeon,medium,вже кілька днів підозра на пупкову грижу випинання болить
"Допоможіть, періодичні закрепи або проблеми з травленням",gastroenterologist,low,допоможіть періодичні закрепи або проблеми з травленням
